age,income,category,experience_years,department,salary_band,performance_score,location
35.498164579809156,89549.01368571346,C,10.979091418175562,Marketing,Senior,9.025800759214166,Los Angeles
39.70419806624944,44151.88429749609,A,9.021856318171327,Marketing,Senior,7.501347603158434,Boston
28.39539314705503,81691.1208469237,A,9.53695043172317,Sales,Mid,7.324374769496646,Chicago
44.475764093916794,37335.90977716791,A,8.79755897581985,Engineering,Junior,9.621956385938871,San Francisco
40.24992258908124,73051.2823071905,B,2.3202625027114347,Marketing,Mid,8.317656287634005,San Francisco
32.25895863749408,82449.30310148116,B,6.422626487216303,Sales,Mid,8.396706416759034,Seattle
30.866932644383926,66766.99106761959,A,9.8243136684369,Engineering,Principal,9.11130741571963,Chicago
45.376119335854646,88448.33205652967,C,10.887105222695428,Engineering,Mid,7.503527132292513,San Diego
32.44382734461809,57325.03161118443,A,10.425702799906428,Marketing,Senior,7.1361378239860915,San Diego
38.55806987666126,53661.38502643253,A,1.1562620851781178,Engineering,Mid,9.008504865160893,Nashville
19.13108688065006,74972.21525284063,C,10.4268410470257,Engineering,Senior,7.4089833118080755,New York
39.70863347207164,97136.09689546135,A,-2.6054728073409397,Engineering,Junior,8.514058666980924,San Francisco
39.509737551320015,101608.46779705699,A,4.275800389638331,Sales,Senior,7.483101986429551,San Francisco
33.770869450658125,59771.31137626017,A,10.946146002305028,Sales,Mid,7.567045286511641,Portland
36.85255408174812,102601.54804357361,A,7.05788912692046,Marketing,Senior,9.110879187912396,San Francisco
38.19436510236243,66337.65500343445,B,8.13903944701505,Marketing,Principal,6.514442419802704,San Francisco
27.446499805462054,82484.8976153601,A,4.202353379373556,Marketing,Junior,6.8096431386630085,Boston
23.04785718893705,68771.34683680533,C,9.426838411945965,Marketing,Senior,9.619070319891676,Austin
23.234950829316595,46879.537353210166,B,4.638743276440206,Sales,Junior,8.006284244026622,Austin
33.913952939315536,82476.70349100171,C,6.644974025661531,Engineering,Junior,7.9912290668039985,Denver
32.35322912640848,64749.79112187246,B,5.102439454096699,Engineering,Mid,5.2409087154349425,San Francisco
