age,income,category,experience_years,department,salary_band,performance_score,location
28.043432261056815,55276.439331254966,B,2.644218469405316,Engineering,Principal,7.350057900183134,Denver
34.14314854435383,75844.27779904466,B,8.560498406171376,Sales,Senior,9.15482542606093,Miami
35.74676600465075,77428.77944031212,B,7.59361737029942,Marketing,Mid,6.966962013833604,Portland
40.79445644336637,93490.93558667731,C,11.59077615388766,Engineering,Junior,7.591904908136873,Portland
42.442731027962644,96531.87573718347,A,13.372986966489032,Engineering,Mid,9.3223009834018,Phoenix
35.50765967014001,80409.1617030913,A,8.348242611796557,Engineering,Senior,8.40366456496815,Miami
32.72131056829601,72560.81926342117,A,6.604396372527714,Engineering,Mid,7.798515809225634,Nashville
22.995834997416008,44663.760214711525,A,-0.2058781080613743,Sales,Mid,6.9351812834784194,San Francisco
23.84375959946749,43424.717850015906,B,-0.9853014026247164,Marketing,Junior,6.648107539203123,Chicago
23.98938394401181,46637.36050241115,B,0.20515634100337454,Marketing,Junior,6.874156162362489,Los Angeles
